price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_ordinal,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,area_per_bedroom,area_per_bathroom,is_fully_equipped
9310000,6550,4,2,2,1,0,0,0,1,1,1,1,True,False,1637.5,3275.0,0
9240000,3500,4,2,2,1,0,0,1,0,2,0,2,False,False,875.0,1750.0,0
9240000,7800,3,2,2,1,0,0,0,0,0,1,1,True,False,2600.0,3900.0,0
9100000,6000,4,1,2,1,0,1,0,0,2,0,1,True,False,1500.0,6000.0,0
8960000,8500,3,2,4,1,0,0,0,1,2,0,2,False,False,2833.3333333333335,4250.0,0
8890000,4600,3,2,2,1,1,0,0,1,2,0,2,False,False,1533.3333333333333,2300.0,0
8855000,6420,3,2,2,1,0,0,0,1,1,1,1,True,False,2140.0,3210.0,0
8750000,4320,3,1,2,1,0,1,1,0,2,0,1,True,False,1440.0,4320.0,0
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,False,True,2385.0,3577.5,0
8645000,8050,3,1,1,1,1,1,0,1,1,0,2,False,False,2683.3333333333335,8050.0,0
8645000,4560,3,2,2,1,1,1,0,1,1,0,2,False,False,1520.0,2280.0,0
8575000,8800,3,2,2,1,0,0,0,1,2,0,2,False,False,2933.3333333333335,4400.0,0
8540000,6540,4,2,2,1,1,1,0,1,2,1,2,False,False,1635.0,3270.0,0
8400000,8875,3,1,1,1,0,0,0,0,1,0,1,True,False,2958.3333333333335,8875.0,0
8400000,5500,4,2,2,1,0,1,0,1,1,1,1,True,False,1375.0,2750.0,0
8400000,7475,3,2,4,1,0,0,0,1,2,0,0,False,True,2491.6666666666665,3737.5,0
8400000,7000,3,1,4,1,0,0,0,1,2,0,1,True,False,2333.3333333333335,7000.0,0
8295000,4880,4,2,2,1,0,0,0,1,1,1,2,False,False,1220.0,2440.0,0
8120000,6840,5,1,2,1,1,1,0,1,1,0,2,False,False,1368.0,6840.0,0
8080940,7000,3,2,4,1,0,0,0,1,2,0,2,False,False,2333.3333333333335,3500.0,0
7980000,9000,4,2,4,1,0,0,0,1,2,0,2,False,False,2250.0,4500.0,0
7962500,6000,3,1,4,1,1,0,0,1,2,0,0,False,True,2000.0,6000.0,0
7910000,6000,4,2,4,1,0,0,0,1,1,0,1,True,False,1500.0,3000.0,0
7875000,6550,3,1,2,1,0,1,0,1,0,1,2,False,False,2183.3333333333335,6550.0,0
7840000,6360,3,2,4,1,0,0,0,1,0,1,2,False,False,2120.0,3180.0,0
7700000,6480,3,2,4,1,0,0,0,1,2,0,0,False,True,2160.0,3240.0,0
7700000,6000,4,2,4,1,0,0,0,0,2,0,1,True,False,1500.0,3000.0,0
7560000,6000,4,2,4,1,0,0,0,1,1,0,2,False,False,1500.0,3000.0,0
7560000,6000,3,2,3,1,0,0,0,1,0,0,1,True,False,2000.0,3000.0,0
7525000,6000,3,2,4,1,0,0,0,1,1,0,2,False,False,2000.0,3000.0,0
7490000,6600,3,1,4,1,0,0,0,1,3,1,2,False,False,2200.0,6600.0,0
7455000,4300,3,2,2,1,0,1,0,0,1,0,0,False,True,1433.3333333333333,2150.0,0
7420000,7440,3,2,1,1,1,1,0,1,0,1,1,True,False,2480.0,3720.0,0
7420000,7440,3,2,4,1,0,0,0,0,1,1,0,False,True,2480.0,3720.0,0
7420000,6325,3,1,4,1,0,0,0,1,1,0,0,False,True,2108.3333333333335,6325.0,0
7350000,6000,4,2,4,1,1,0,0,1,1,0,2,False,False,1500.0,3000.0,0
7350000,5150,3,2,4,1,0,0,0,1,2,0,1,True,False,1716.6666666666667,2575.0,0
7350000,6000,3,2,2,1,1,0,0,1,1,0,1,True,False,2000.0,3000.0,0
7350000,6000,3,1,2,1,0,0,0,1,1,0,0,False,True,2000.0,6000.0,0
7343000,11440,4,1,2,1,0,1,0,0,1,1,1,True,False,2860.0,11440.0,0
7210000,7680,4,2,4,1,1,0,0,1,1,0,1,True,False,1920.0,3840.0,0
7210000,6000,3,2,4,1,1,0,0,1,1,0,2,False,False,2000.0,3000.0,0
7140000,6000,3,2,2,1,1,0,0,0,1,0,1,True,False,2000.0,3000.0,0
7070000,8880,2,1,1,1,0,0,0,1,1,0,1,True,False,4440.0,8880.0,0
7070000,6240,4,2,2,1,0,0,0,1,1,0,2,False,False,1560.0,3120.0,0
7035000,6360,4,2,3,1,0,0,0,1,2,1,2,False,False,1590.0,3180.0,0
7000000,11175,3,1,1,1,0,1,0,1,1,1,2,False,False,3725.0,11175.0,0
6930000,8880,3,2,2,1,0,1,0,1,1,0,2,False,False,2960.0,4440.0,0
6895000,7700,3,2,1,1,0,0,0,0,2,0,0,False,True,2566.6666666666665,3850.0,0
6860000,6000,3,1,1,1,0,0,0,1,1,0,2,False,False,2000.0,6000.0,0
6790000,12090,4,2,2,1,0,0,0,0,2,1,2,False,False,3022.5,6045.0,0
6790000,4000,3,2,2,1,0,1,0,1,0,1,1,True,False,1333.3333333333333,2000.0,0
6755000,6000,4,2,4,1,0,0,0,1,0,0,0,False,True,1500.0,3000.0,0
6720000,5020,3,1,4,1,0,0,0,1,0,1,0,False,True,1673.3333333333333,5020.0,0
